Street,Start_Lat,Start_Lng,Severity,Hour,Rush_Hour,Weather,City,ID
GT Road,34.015658082584395,71.52692103056961,3,14,0,Clear,Peshawar,P-0
GT Road,34.01416105122813,71.52598512008717,3,2,0,Fog,Peshawar,P-1
GT Road,34.00987490197461,71.5268007393648,2,7,1,Clear,Peshawar,P-2
GT Road,34.013283951848955,71.52207539259733,2,14,0,Clear,Peshawar,P-3
GT Road,34.020218976062075,71.52568846604376,2,17,1,Clear,Peshawar,P-4
GT Road,34.01389872262016,71.52431661250041,1,14,0,Clear,Peshawar,P-5
GT Road,34.01403270239231,71.52488894427536,3,10,0,Clear,Peshawar,P-6
GT Road,34.01551772719001,71.52098065975224,4,8,1,Cloudy,Peshawar,P-7
GT Road,34.0155372766321,71.5266635220779,2,7,1,Fog,Peshawar,P-8
GT Road,34.01486870343522,71.52429779260882,4,5,0,Clear,Peshawar,P-9
GT Road,34.01240664380527,71.52313881746791,2,8,1,Rain,Peshawar,P-10
GT Road,34.013746155999385,71.52612335257768,2,7,1,Rain,Peshawar,P-11
GT Road,34.016888664660215,71.52640999559449,1,17,1,Cloudy,Peshawar,P-12
GT Road,34.0157625268628,71.52685109025424,1,9,1,Clear,Peshawar,P-13
GT Road,34.0174594326894,71.52310358412109,2,5,0,Clear,Peshawar,P-14
GT Road,34.01582327205009,71.52360976049079,3,18,1,Clear,Peshawar,P-15
GT Road,34.02184459250725,71.52305921838986,3,13,0,Rain,Peshawar,P-16
GT Road,34.01527409413647,71.52430198529908,2,2,0,Clear,Peshawar,P-17
GT Road,34.01403116709265,71.52190989225838,2,12,0,Fog,Peshawar,P-18
GT Road,34.01348301279421,71.52389648591283,3,8,1,Clear,Peshawar,P-19
GT Road,34.01561423374011,71.52552902579173,4,17,1,Cloudy,Peshawar,P-20
GT Road,34.01369589381224,71.52424467570681,2,19,1,Cloudy,Peshawar,P-21
GT Road,34.00978964790487,71.52559103588779,2,10,0,Rain,Peshawar,P-22
GT Road,34.014777428576664,71.52570810171363,2,6,0,Clear,Peshawar,P-23
GT Road,34.01506289839097,71.52155299075602,2,16,0,Clear,Peshawar,P-24
